"Cue","AFSS","BOI","Concrete","SUBTLEX","AoA.x","Length","QSS","n.unique","n.unique.affordance","total.affordance","Category","Living","Thought","Repro","Person","Goals","Move","LivingN","ThoughtN","ReproN","PersonN","GoalsN","MoveN","CNC","FAM","IMG","AVAIL","MNG","VAL","ARO","DOM","AoA.y","LEN","OrthoN","PhonoN","NSyll","SUBTLWF","SUBTLCD","AnimMental","AnimPhysical","X"
"appliance",43,5.791666667,4.57,1.6232,8.78,9,18,37,31,107,"O M",111,158,128,129,289,215,28,26,29,28,27,26,558,493,554,0.6,18,5.15,2.84,5,8.78,9,0,0,2,0.8,0.41,219,131,NA
"applicator",17,5.185185185,4.26,1.0414,10.74,10,NA,26,23,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"appraiser",33,4.428571429,3.62,1.0792,13.05,9,NA,33,23,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"apprentice",27,4.321428571,3.67,2,10.58,10,NA,33,28,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"apricot",40,6.291666667,4.97,1.5185,6.15,7,NA,37,33,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"apron",42,5.96,4.87,2.1367,6.75,5,14,38,38,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aquarium",49,5.782608696,4.77,2.1523,6.84,8,NA,28,27,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"arachnid",51,4.904761905,4.65,NA,11.88,8,NA,30,23,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"archives",21,4.333333333,3.93,2.1139,10.88,8,NA,26,22,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"arm",69,6.47826087,4.96,3.5234,3.26,3,6,35,32,155,"B",504,125,175,446,275,562,24,24,24,26,24,26,592,608,593,1.63,6,5.44,3.44,6.02,3.26,3,7,5,1,65.41,23.19,227,325,NA
"armband",34,5.347826087,4.67,1.1761,10,7,NA,30,25,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"armoire",27,4.904761905,4.52,0.9542,12.37,7,NA,27,23,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"armor",32,5.333333333,4.76,2.5717,7.17,5,13,30,29,69,"O C",104,104,132,165,250,319,27,25,28,26,24,26,509,343,590,0.7,13,6.1,3.29,6.3,7.17,5,2,10,2,7.29,2.35,172,115,NA
"armpit",30,5.52,4.8,1.8129,6,6,NA,26,20,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"arrow",38,4.92,4.97,2.6031,6.07,5,9,29,26,67,"O W",117,109,111,146,238,476,23,23,27,26,26,25,595,490,619,1.08,9,5.24,3.91,5.53,6.07,5,0,8,2,7.84,2.35,173,126,NA
"arrowhead",37,4.44,4.7,NA,NA,9,NA,26,21,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"artichoke",33,5.708333333,4.63,1.4624,10,9,NA,27,24,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"artifact",42,4.416666667,4.5,1.7559,10.33,8,NA,35,30,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"artist",36,4.782608696,4.24,3.1647,6.78,6,12,26,26,80,"H P",665,644,600,629,604,555,26,25,25,24,24,22,554,547,600,1.32,12,6.76,4.1,6.95,6.78,6,0,0,2,28.63,9.24,647,646,NA
"ash",26,4.333333333,4.96,NA,6.63,3,12,69,56,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
