Cue,Target,AFS,AFP,AFSS,FSG,COS,BOI,Concrete,SUBTLEX,AoA,Length,QSS,n,n.affordance,affordance_count
battery,charge,0.3,0.555555556,22,0.086,NA,4.8,4.67,2.8021,5.58,7,21,27,23,48
battleship,war,0.138888889,0.333333333,38,NA,NA,4.36,4.81,1.9445,7.58,10,NA,30,26,70
bayonet,stab,0.157894737,0.333333333,35,NA,0.324831353,4.916666667,4.77,1.9085,11,7,NA,27,24,60
bazooka,shoot,0.15,0.310344828,28,NA,NA,5.041666667,4.66,1.6721,10.53,7,NA,29,29,61
beach,swim,0.137254902,0.518518519,44,0.024,NA,5.666666667,4.79,3.4607,4.8,5,16,27,25,99
beachwear,wear,0.26984127,0.62962963,25,NA,NA,6.304347826,4.64,0.4771,7.74,9,NA,27,25,63
bead,decorate,0.162790698,0.205882353,25,NA,NA,5.545454545,4.9,1.7634,5.63,4,20,34,24,53
beagle,walk,0.119565217,0.333333333,45,NA,NA,5.2,4.81,NA,7.39,6,NA,33,28,88
beaker,measure,0.171428571,0.428571429,32,0.013,NA,5.416666667,4.72,1.3617,11.25,6,14,28,24,59
beanstalk,eat,0.174311927,0.527777778,41,NA,NA,4.5,4.7,1.2788,6.05,9,NA,36,33,103
beard,shave,0.141025641,0.333333333,34,0.09,0.494865325,5.565217391,4.96,2.8089,4.84,5,13,33,27,78
beautician,makeup,0.081632653,0.133333333,36,NA,NA,4.608695652,4.69,1.0792,10.11,10,NA,30,23,47
bed,sleep,0.245098039,0.961538462,39,0.638,NA,6.36,5,3.9797,2.89,3,11,26,26,103
bedclothes,wear,0.16,0.5,36,NA,NA,5.708333333,4.63,1,9,10,NA,24,23,75
bedpost,hold,0.166666667,0.307692308,30,NA,NA,5.346153846,4.79,1.2304,6.62,7,NA,26,22,51
bedroom,sleep,0.25203252,0.939393939,35,0.187,NA,5.708333333,4.9,3.2725,3.9,7,14,33,31,122
bedspread,cover,0.11023622,0.358974359,50,NA,NA,6.08,4.85,1.3802,7.72,9,NA,39,37,124
beef,eat,0.231707317,0.59375,35,0.012,NA,5.714285714,4.74,3.0026,6.58,4,10,32,29,81
beefcake,eat,0.338235294,0.676470588,34,NA,NA,4.458333333,3.9,1,NA,8,NA,34,32,66
beefsteak,eat,0.285714286,0.814814815,32,NA,NA,5.227272727,4.76,NA,10.26,9,NA,27,25,75
beer,drink,0.327586207,1,47,0.178,NA,5.791666667,4.88,3.5856,6.11,4,22,37,36,109
beet,eat,0.18627451,0.575757576,40,NA,NA,5.32,4.8,1.1761,6.56,4,11,33,27,100
beetle,pet,0.131578947,0.192307692,24,NA,NA,5.166666667,4.83,2.0253,5.32,6,4,26,21,39
beggar,ignore,0.155555556,0.259259259,26,NA,NA,4.28,4.59,2.1038,7.63,6,14,27,21,46
bell,ring,0.19047619,0.551724138,40,0.399,NA,5.76,4.96,3.3025,3.89,4,11,29,25,77
bellboy,carry,0.18,0.310344828,28,NA,NA,4.8,4.39,1.8062,7.95,7,NA,29,22,48
bellflower,decorate,0.12,0.375,53,NA,NA,4.428571429,4.26,NA,NA,10,NA,32,30,97
bellman,carry,0.160714286,0.310344828,32,NA,NA,4.32,4.89,1.7482,10.11,7,NA,29,19,55
belly,eat,0.104477612,0.21875,38,NA,0.209210096,5.846153846,4.8,2.9004,4.05,5,12,32,24,62
belongings,give,0.104166667,0.172413793,35,NA,NA,5.173913043,3.88,2.1903,9.17,10,NA,29,22,52
belt,wear,0.139534884,0.333333333,40,NA,NA,5.80952381,4.9,3.0945,4.62,4,11,36,33,80
bench,sit,0.325301205,0.931034483,34,0.248,0.066683077,6.166666667,4.87,2.6937,4.21,5,14,29,28,83
beret,wear,0.375,0.666666667,25,NA,NA,5.695652174,4.8,1.6902,10.33,5,NA,27,24,45
berry,eat,0.225806452,0.583333333,39,0.026,NA,5.523809524,4.93,NA,5.21,5,10,36,31,94
beverage,drink,0.252173913,0.852941176,51,0.493,NA,6.208333333,4.6,2.0792,6.63,8,5,34,30,113
bib,clean,0.288461538,0.555555556,23,NA,NA,5.375,4.79,1.415,4.53,3,NA,27,24,58
bible,read,0.280373832,0.789473684,43,0.013,0.362808626,5.826086957,4.61,NA,4.95,5,8,38,35,104
bicep,lift,0.164556962,0.382352941,37,NA,0.117688661,5.666666667,4.67,1.2304,8.67,5,NA,34,29,73
bicycle,ride,0.220779221,0.68,35,0.23,0.295065853,6.08,4.89,2.5289,4.26,7,15,25,22,74
bifocals,see,0.225806452,0.269230769,32,NA,NA,5.875,4.64,1,10.72,8,NA,52,46,117
bike,ride,0.17699115,0.689655172,55,0.28,0.189088354,6.48,5,3.1209,4.79,4,18,29,28,101
bill,pay,0.327868852,0.740740741,35,NA,NA,5.111111111,4.68,NA,6.42,4,16,27,26,56
billfold,hold,0.196428571,0.35483871,19,NA,NA,5.444444444,4.71,1.1139,9.38,8,NA,31,25,42
