"Occurrences","Word","Length","Freq_HAL","Log_Freq_HAL","I_Zscore"
"1","chrysanthemum","13","90","4.500","0.762"
"1","cider","5","668","6.504","-0.418"
"1","cigar","5","1,240","7.123","-0.458"
"1","cigarette","9","2,881","7.966","-0.454"
"1","citrus","6","837","6.730","-0.226"
"1","clam","4","768","6.644","-0.568"
"1","clamp","5","1,610","7.384","-0.464"
"1","clamshell","9","53","3.970","0.347"
"1","clarinet","8","1,634","7.399","-0.055"
"1","classmate","9","372","5.919","-0.445"
"1","claw","4","2,194","7.693","-0.610"
"1","clay","4","10,797","9.287","-0.737"
"1","cleat","5","357","5.878","0.312"
"1","cleavage","8","707","6.561","-0.526"
"1","clergy","6","2,395","7.781","-0.468"
"1","clerk","5","2,715","7.907","-0.692"
"1","client","6","68,130","11.129","-0.636"
"1","cliff","5","5,132","8.543","-0.583"
"1","clip","4","7,281","8.893","-0.583"
"1","clipboard","9","1,977","7.589","-0.391"
"1","clipper","7","4,113","8.322","-0.626"
"1","clitoris","8","1,933","7.567","0.281"
"1","cloak","5","3,969","8.286","-0.241"
"1","clock","5","24,496","10.106","-0.780"
"1","closet","6","5,258","8.568","-0.353"
"1","cloth","5","11,191","9.323","-0.479"
"1","clothes","7","14,338","9.571","-0.800"
"1","clothesline","11","353","5.866","0.282"
"1","clothespin","10","151","5.017","0.538"
"1","clove","5","511","6.236","-0.257"
"1","clover","6","694","6.542","-0.379"
"1","cloverleaf","10","45","3.807","0.307"
"1","club","4","63,264","11.055","-0.839"
"1","clubhouse","9","443","6.094","-0.404"
"1","coachman","8","30","3.401","-0.306"
"1","coal","4","4,838","8.484","-0.652"
"1","coaster","7","1,595","7.375","-0.363"
"1","coat","4","10,295","9.239","-0.460"
"1","cobblestone","11","68","4.220","0.235"
"1","cobweb","6","62","4.127","-0.210"
"1","cocaine","7","4,921","8.501","-0.388"
"1","cock","4","23,323","10.057","-0.512"
"1","cockatoo","8","271","5.602","0.316"
"1","cocktail","8","1,491","7.307","-0.539"
"1","cocoa","5","1,445","7.276","-0.257"
"1","coconut","7","1,410","7.251","-0.290"
"1","cod","3","11,375","9.339","-0.359"
"1","coffee","6","18,382","9.819","-0.625"
"1","coffeepot","9","30","3.401","0.382"
"1","coffin","6","3,601","8.189","-0.193"
"1","coin","4","6,375","8.760","-0.699"
"1","Coke","4","4,270","8.359","-0.729"
"1","cola","4","1,736","7.459","-0.372"
"1","colander","8","118","4.771","0.720"
"1","coleslaw","8","43","3.761","-0.079"
"1","collar","6","4,155","8.332","-0.391"
"1","collarbone","10","87","4.466","-0.049"
"1","colleague","9","2,063","7.632","-0.270"
"1","collie","6","1,822","7.508","0.151"
"1","cologne","7","953","6.860","-0.351"
"1","colt","4","1,935","7.568","-0.505"
"1","comb","4","1,614","7.386","-0.504"
"1","Comforter","9","260","5.561","0.149"
"1","comic","5","17,078","9.746","-0.649"
"1","committeewoman","14","2","0.693","1.336"
"1","commode","7","104","4.644","0.156"
"1","companion","9","7,669","8.945","-0.242"
