"cue","response","AFSS"
"antibiotics","buy",14
"antibiotics","chew",14
"antibiotics","choke",14
"antibiotics","improve",14
"antibiotics","clear",14
"antibiotics","feel",14
"antibiotics","kill",14
"antibiotics","heal",14
"antibiotics","give",14
"antibiotics","infect",14
"antihistamine","digest",8
"antihistamine","medicate",8
"antihistamine","take",8
"antihistamine","crush",8
"antihistamine","store",8
"antihistamine","throw",8
"antihistamine","imbibe",8
"antihistamine","bite",8
"antique","sell",17
"antique","display",17
"antique","update",17
"antique","polish",17
"antique","buy",17
"antique","clean",17
"antique","destroy",17
"antique","weight",17
"antique","pass",17
"antique","store",17
"antique","decorate",17
"antique","show",17
"antique","counterfeit",17
"antique","restore",17
"antique","give",17
"antique","present",17
"antique","donate",17
"antiseptics","clean",25
"antiseptics","relieve",25
"antiseptics","take",25
"antiseptics","rub",25
"antiseptics","prescribe",25
"antiseptics","buy",25
"antiseptics","sell",25
"antiseptics","wipe",25
"antiseptics","mop",25
"antiseptics","research",25
"antiseptics","ignore",25
"antiseptics","drink",25
"antiseptics","food",25
"antiseptics","burn",25
"antiseptics","treat",25
"antiseptics","prevent",25
"antiseptics","unblock",25
"antiseptics","sick",25
"antiseptics","sting",25
"antiseptics","heal",25
"antiseptics","disinfect",25
"antiseptics","apply",25
"antiseptics","use",25
"antiseptics","poison",25
"antiseptics","drown",25
"anus","excrete",16
"anus","eat",16
"anus","take",16
"anus","poop",16
"anus","colonoscopy",16
"anus","scratch",16
"anus","defecate",16
"anus","avoid",16
"anus","procreate",16
"anus","play",16
"anus","sit",16
"anus","spank",16
"anus","pleasure",16
"anus","expel",16
"anus","store",16
"anus","remove",16
"apartment","live",17
"apartment","rent",17
"apartment","stay",17
"apartment","warm",17
"apartment","buy",17
"apartment","sell",17
"apartment","look",17
"apartment","safety",17
"apartment","sleep",17
"apartment","decorate",17
"apartment","cook",17
"apartment","shower",17
"apartment","sex",17
"apartment","party",17
"apartment","store",17
"apartment","facilitate",17
"apartment","work",17
"apparatus","study",34
"apparatus","clean",34
"apparatus","adjust",34
"apparatus","measure",34
"apparatus","fix",34
"apparatus","break",34
"apparatus","steal",34
"apparatus","return",34
"apparatus","activate",34
"apparatus","deactivate",34
"apparatus","prepare",34
"apparatus","climb",34
"apparatus","fear",34
"apparatus","calculate",34
"apparatus","destroy",34
"apparatus","build",34
"apparatus","cook",34
"apparatus","draw",34
"apparatus","read",34
"apparatus","write",34
"apparatus","make",34
"apparatus","experiment",34
"apparatus","exercise",34
"apparatus","operate",34
"apparatus","work",34
"apparatus","garden",34
"apparatus","breathe",34
"apparatus","store",34
"apparatus","heat",34
"apparatus","examine",34
"apparatus","react",34
"apparatus","buy",34
"apparatus","sell",34
"apparatus","activity",34
"apparel","wear",28
"apparel","design",28
"apparel","distribute",28
"apparel","throw away",28
"apparel","damage",28
"apparel","repair",28
"apparel","admire",28
"apparel","insult",28
"apparel","take off",28
"apparel","change",28
"apparel","look",28
"apparel","cover",28
"apparel","donate",28
"apparel","dispose",28
"apparel","buy",28
"apparel","share",28
"apparel","customize",28
"apparel","step on",28
"apparel","burn",28
"apparel","throw",28
"apparel","protect",28
"apparel","express",28
"apparel","conform",28
"apparel","communicate",28
"apparel","warm",28
"apparel","cool",28
"apparel","participate",28
"apparel","display",28
"appendage","bend",21
"appendage","pick up",21
"appendage","move",21
"appendage","amputate",21
"appendage","touch",21
"appendage","hold",21
"appendage","break",21
"appendage","fold",21
"appendage","grab",21
"appendage","pull",21
"appendage","remove",21
"appendage","throw",21
"appendage","weapon",21
"appendage","walk",21
"appendage","carry",21
"appendage","swim",21
"appendage","sew",21
"appendage","lick",21
"appendage","smell",21
"appendage","burn",21
"appendage","prod",21
"appetizer","food",9
"appetizer","eat",9
"appetizer","make",9
"appetizer","cook",9
"appetizer","taste",9
"appetizer","share",9
"appetizer","enjoy",9
"appetizer","snack",9
"appetizer","design",9
"apple","eat",11
"apple","sell",11
"apple","give",11
"apple","peel",11
"apple","buy",11
"apple","drink",11
"apple","pick",11
"apple","throw",11
"apple","cook",11
"apple","feed",11
"apple","bake",11
"appliance","cook",14
"appliance","clean",14
"appliance","watch",14
"appliance","listen",14
"appliance","read",14
"appliance","fix",14
"appliance","build",14
"appliance","turn on",14
"appliance","heat",14
"appliance","entertain",14
"appliance","time",14
"appliance","bake",14
"appliance","boil",14
"appliance","food",14
"applicator","apply",4
"applicator","paint",4
"applicator","glue",4
"applicator","remove",4
"appraiser","examine",13
"appraiser","advise",13
"appraiser","fail",13
"appraiser","pass",13
"appraiser","test",13
"appraiser","work",13
"appraiser","hire",13
"appraiser","value",13
"appraiser","appraise",13
"appraiser","learn",13
"appraiser","listen",13
"appraiser","watch",13
"appraiser","reward",13
"apprentice","teach",11
"apprentice","talk",11
"apprentice","listen",11
"apprentice","train",11
"apprentice","inform",11
"apprentice","develop",11
"apprentice","pay",11
"apprentice","work",11
"apprentice","learn",11
"apprentice","graduate",11
"apprentice","assist",11
"apricot","eat",10
"apricot","throw",10
"apricot","catch",10
"apricot","cook",10
"apricot","food",10
"apricot","garden",10
"apricot","health",10
"apricot","paint",10
"apricot","plant",10
"apricot","dehydrate",10
"apron","wear",28
"apron","intend",28
"apron","towel",28
"apron","sop",28
"apron","spill",28
"apron","shift",28
"apron","distance",28
"apron","rope",28
"apron","weapon",28
"apron","strangle",28
"apron","hammock",28
"apron","protect",28
"apron","cook",28
"apron","clean",28
"apron","wipe",28
"apron","serve",28
"apron","wash",28
"apron","donate",28
"apron","rid",28
"apron","burn",28
"apron","tie",28
"apron","hang",28
"apron","take",28
"apron","iron",28
"apron","sew",28
"apron","sell",28
"apron","sit",28
"apron","hold",28
"aquarium","swim",18
"aquarium","drown",18
"aquarium","drink",18
"aquarium","visit",18
"aquarium","feed",18
"aquarium","fish",18
"aquarium","view",18
"aquarium","run",18
"aquarium","upkeep",18
"aquarium","clean",18
"aquarium","manage",18
"aquarium","catch",18
"aquarium","transport",18
"aquarium","watch",18
"aquarium","look",18
"aquarium","hold",18
"aquarium","store",18
"aquarium","tour",18
"arachnid","scare",17
"arachnid","play",17
"arachnid","entertain",17
"arachnid","learn",17
"arachnid","harm",17
"arachnid","paint",17
"arachnid","collect",17
"arachnid","eat",17
"arachnid","kill",17
"arachnid","grow",17
"arachnid","keep away",17
"arachnid","pet",17
"arachnid","fly",17
"arachnid","capture",17
"arachnid","squish",17
"arachnid","release",17
"arachnid","avoid",17
"archives","read",6
"archives","file",6
"archives","save",6
"archives","burn",6
"archives","search",6
"archives","store",6
"arm","play",32
"arm","draw",32
"arm","paint",32
"arm","fight",32
"arm","move",32
"arm","cook",32
"arm","lift",32
"arm","workout",32
"arm","wave",32
"arm","punch",32
